InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Region,PriceBand,OrderType,CustomerTotal,CustomerOrders,ShareOfCustomerSpend,RevenueZScoreInCountry,CountryMedianRevenue,RevenueTier,IsWeekend,IsRepeatCustomer,QuantityBucket,CustomerValueQuartile,Year,Month,DayName,Hour,Quarter,Revenue_Capped,BasketSize,BasketLines,BasketValue,LogRevenue,RevenueRankInCustomer,IsTopLineForCustomer,RevenuePerUnit
575867,23242,Treasure Tin Buffalo Bill,6,2011-11-11 12:44:00,2.08,15034,United Kingdom,12.48,UK,Standard,Normal,4308.61,8,0.0029,-0.025,10.2,Mid,0,Repeat,3-6,Q3,2011,11,Friday,12,4,12.48,595,100,813.75,2.601207105484161,46,False,2.08
559899,37450,Ceramic Cake Bowl + Hanging Cakes,12,2011-07-13 12:24:00,2.95,12528,Germany,35.400000000000006,EU,Standard,Normal,1933.48,6,0.0183,0.284,17.0,Top,0,Repeat,7-12,Q2,2011,7,Wednesday,12,3,35.400000000000006,94,12,281.71,3.594568774642695,8,False,2.95
569401,23271,Christmas Table Silver Candle Spike,16,2011-10-04 08:56:00,0.83,15111,United Kingdom,13.28,UK,Budget,Normal,1567.48,3,0.0085,-0.023,10.2,Mid,0,Repeat,13-24,Q2,2011,10,Tuesday,8,4,13.28,456,52,949.3000000000001,2.658859956911438,26,False,0.83
560041,22625,Red Kitchen Scales,2,2011-07-14 14:46:00,8.5,14156,Eire,17.0,EU,Premium,Normal,117379.63,55,0.0001,-0.235,17.4,Mid,0,Repeat,1-2,Q4-High,2011,7,Thursday,14,3,17.0,178,28,654.97,2.8903717578961645,261,False,8.5
548257,85099B,Jumbo Bag Red Retrospot,200,2011-03-30 10:54:00,1.65,13802,United Kingdom,330.0,UK,Standard,Bulk-Cheap,4599.42,3,0.0717,0.949,10.2,Top,0,Repeat,25+,Q3,2011,3,Wednesday,10,1,202.5,1104,28,2161.32,5.802118375377063,1,True,1.65
552042,22321,Bird Decoration Red Retrospot,12,2011-05-06 09:00:00,0.85,13952,United Kingdom,10.2,UK,Budget,Normal,3251.071,2,0.0031,-0.032,10.2,Low,0,Repeat,7-12,Q3,2011,5,Friday,9,2,10.2,545,44,1208.31,2.4159137783010487,56,False,0.85
563540,20726,Lunch Bag Woodland,10,2011-08-17 12:04:00,1.65,12473,Germany,16.5,EU,Standard,Normal,3938.5499999999997,5,0.0042,-0.249,17.0,Mid,0,Repeat,7-12,Q3,2011,8,Wednesday,12,3,16.5,321,30,514.06,2.8622008809294686,35,False,1.65
575634,23209,Lunch Bag Vintage Doily,10,2011-11-10 13:44:00,1.65,13266,United Kingdom,16.5,UK,Standard,Normal,3834.2599999999998,12,0.0043,-0.013,10.2,Mid,0,Repeat,7-12,Q3,2011,11,Thursday,13,4,16.5,412,18,301.06,2.8622008809294686,30,False,1.65
578088,21212,Pack Of 72 Retrospot Cake Cases,1,2011-11-22 16:47:00,0.55,16376,United Kingdom,0.55,UK,Budget,Normal,987.01,2,0.0006,-0.062,10.2,Low,0,Repeat,1-2,Q1-Low,2011,11,Tuesday,16,4,0.55,658,106,874.25,0.4382549309311553,74,False,0.55
580874,23209,Lunch Bag Vintage Doily,30,2011-12-06 12:09:00,1.65,14735,United Kingdom,49.5,UK,Standard,Bulk-Cheap,6065.69,32,0.0082,0.089,10.2,Top,0,Repeat,25+,Q3,2011,12,Tuesday,12,4,49.5,234,16,557.44,3.9219733362813143,18,False,1.65
573248,23301,Gardeners Kneeling Pad Keep Calm,4,2011-10-28 12:09:00,1.65,14498,United Kingdom,6.6,UK,Standard,Normal,1957.32,5,0.0034,-0.043,10.2,Low,0,Repeat,3-6,Q2,2011,10,Friday,12,4,6.6,409,74,675.53,2.028148247292285,43,False,1.65
550193,22212,Four Hook  White Lovebirds,6,2011-04-15 09:27:00,2.1,13952,United Kingdom,12.600000000000001,UK,Standard,Normal,3251.071,2,0.0039,-0.025,10.2,Mid,0,Repeat,3-6,Q3,2011,4,Friday,9,2,12.600000000000001,886,93,2042.761,2.6100697927420065,50,False,2.1
566539,22966,Gingerbread Man Cookie Cutter,3,2011-09-13 11:34:00,1.25,17228,United Kingdom,3.75,UK,Standard,Normal,1906.09,8,0.002,-0.052,10.2,Low,0,Repeat,3-6,Q2,2011,9,Tuesday,11,3,3.75,261,48,368.72,1.55814461804655,62,False,1.25
554096,22088,Paper Bunting Coloured Lace,6,2011-05-22 12:51:00,2.95,14921,United Kingdom,17.700000000000003,UK,Standard,Normal,1316.07,2,0.0134,-0.009,10.2,Mid,1,Repeat,3-6,Q2,2011,5,Sunday,12,2,17.700000000000003,631,53,903.01,2.928523523860541,13,False,2.95
545518,85099F,Jumbo Bag Strawberry,10,2011-03-03 12:24:00,1.95,18218,United Kingdom,19.5,UK,Standard,Normal,662.08,2,0.0295,-0.003,10.2,Mid,0,Repeat,7-12,Q1-Low,2011,3,Thursday,12,1,19.5,358,16,309.38,3.0204248861443626,7,False,1.95
561208,22356,Charlotte Bag Pink Polkadot,100,2011-07-25 16:39:00,0.72,15372,United Kingdom,72.0,UK,Budget,Bulk-Cheap,2007.3999999999999,1,0.0359,0.158,10.2,Top,0,One-Time,25+,Q2,2011,7,Monday,16,3,72.0,2924,27,2007.3999999999999,4.290459441148391,8,False,0.72
567579,21175,Gin + Tonic Diet Metal Sign,12,2011-09-21 10:48:00,2.55,18228,United Kingdom,30.599999999999998,UK,Standard,Normal,779.9,2,0.0392,0.031,10.2,Mid,0,Repeat,7-12,Q1-Low,2011,9,Wednesday,10,3,30.599999999999998,141,20,420.39,3.4531571205928664,4,False,2.55
